nonce,scenario,baseline_profit,frozen_profit,frozen_quality,oracle_profit,oracle_replay_profit,oracle_quality,oracle_time_s,bound_violation,flow_violation,error
0,BASELINE,18470.30233528574,36820.46576291959,0.9934955635016395,38385.01029490056,38383.549568280905,1.078122429749008,0.40199828147888184,False,False,
5,BASELINE,6717.0546462141565,40755.80833518166,5.067511800441403,44313.16251196336,44311.72213872389,5.596897668251339,0.4274106025695801,False,False,
10,BASELINE,39906.54920140796,54849.64150488226,0.37445212883935947,59668.30697609431,59666.70361005267,0.4951606892497832,0.4287400245666504,False,False,
15,BASELINE,34830.360706967294,46346.071712085635,0.33062278917152216,49504.55041430612,49503.01527490791,0.42126048280011963,0.40799832344055176,False,False,
20,BASELINE,28027.008076760507,38810.45120492259,0.3847518471555573,41848.43361038309,41847.00561960978,0.493095713409933,0.4544529914855957,False,False,
25,BASELINE,48056.65881148651,63926.013985052734,0.33022177499870026,68054.77684832277,68053.37361146748,0.41610705559049915,0.3877887725830078,False,False,
30,BASELINE,4136.931874520799,38225.44509403028,8.240047031284039,41002.325022142,41000.58544709308,8.910867928646155,0.38948559761047363,False,False,
35,BASELINE,11441.196415137223,38730.2849625712,2.3851603936231798,42042.69257049981,42041.32644660982,2.6745568311643244,0.4154975414276123,False,False,
40,BASELINE,34683.00077535704,50002.94372592751,0.4417133064510923,53633.86255050499,53632.437178045046,0.5463609254827108,0.4255523681640625,False,False,
45,BASELINE,16473.208488799188,43657.851137146834,1.6502336302719272,46623.5157480218,46622.20559405242,1.8301836660370439,0.41692352294921875,False,False,
50,BASELINE,37445.27529802348,50174.09279820471,0.33993120356396944,53013.06574052949,53011.53464175582,0.41570690078858313,0.46840691566467285,False,False,
55,BASELINE,31610.17009660131,58444.018036348134,0.848899194686177,62754.21418447841,62752.88751459762,0.9852119530467042,0.49456095695495605,False,False,
60,BASELINE,11537.813656218463,47735.01906956245,3.137267292464698,51878.63174708003,51877.1157924149,3.496269166295535,0.40155553817749023,False,False,
65,BASELINE,35791.157090276014,50610.40820888963,0.4140478353583535,53962.07044471325,53960.34500249717,0.5076446080210645,0.39343738555908203,False,False,
70,BASELINE,10340.932836249573,51987.14484434197,4.027316748260522,56121.25277379233,56119.81522938101,4.426958680964363,0.39403414726257324,False,False,
75,BASELINE,34994.88668740411,49661.5504985774,0.41910876699690036,54543.104276537844,54541.70236187968,0.5585620507510485,0.409574031829834,False,False,
80,BASELINE,21409.108880193617,43264.90879435309,1.0208645317955407,46017.01707928285,46015.41144281661,1.1493380083763263,0.5145165920257568,False,False,
85,BASELINE,11784.79820314523,39122.161033536606,2.319714122960173,41055.740716016975,41054.396742543475,2.483674139545541,0.44238972663879395,False,False,
90,BASELINE,19890.738070748113,59083.50582221117,1.9704028885248182,64537.24683108597,64535.52139175939,2.2445010919138624,0.38899827003479004,False,False,
95,BASELINE,26598.788135189116,47559.69735288031,0.7880400080773875,50195.330112143296,50193.61303231889,0.8870639059314028,0.38199853897094727,False,False,
1,CONGESTED,41057.013504291994,155495.02700652723,2.7872951228536116,169400.7000400158,169396.84175322938,3.1258929301420126,1.4819386005401611,False,False,
6,CONGESTED,11618.514735215234,93155.67443711974,7.0178642927353625,105462.75955722097,105459.4628553053,8.076845470409845,1.3994708061218262,False,False,
11,CONGESTED,58657.47074832574,131574.63813367955,1.2431011165988943,142813.45744727386,142810.27245843847,1.4346476354178648,1.4881885051727295,False,False,
16,CONGESTED,23186.278464472834,73848.95597414445,2.18502842468292,79612.04515413624,79608.65593271445,2.4334382748081516,1.4013545513153076,False,False,
21,CONGESTED,2980.999464512717,86725.73927756422,10.0,93281.31592383047,93277.53935532646,10.0,1.4818449020385742,False,False,
26,CONGESTED,46084.87020777623,127295.21557144266,1.7621910400476954,139432.91186589844,139429.42747515198,2.025492463025307,1.4347059726715088,False,False,
31,CONGESTED,13701.154640721614,61834.440596838496,3.5130824528865188,68318.74143894053,68315.36265777652,3.9861025909997596,1.432145357131958,False,False,
36,CONGESTED,336.8922602371719,68150.61168449944,10.0,86998.11263277274,86994.1237252649,10.0,1.3891432285308838,False,False,
41,CONGESTED,45903.92554581891,120029.26267785089,1.614792988813759,142068.33795679628,142064.49144936822,2.0948222784448363,1.4841208457946777,False,False,
46,CONGESTED,4290.440230316097,112594.05504584542,10.0,122985.47124520913,122982.12081904274,10.0,1.4735147953033447,False,False,
51,CONGESTED,22446.87966860962,86622.74403640571,2.859010486641602,94835.94772750227,94832.86752674292,3.224768383114524,1.4841744899749756,False,False,
56,CONGESTED,9829.299300936138,84796.7955395266,7.626942057184448,99958.66640897309,99954.85300642278,9.169072070857997,1.407454252243042,False,False,
61,CONGESTED,8299.538458231638,83140.3889333294,9.017471374188494,98217.35471479506,98213.87432276979,10.0,1.52103853225708,False,False,
66,CONGESTED,23655.828552041898,110040.21026100534,3.6517165955641526,128016.89848509694,128014.00129355589,4.411520505718858,1.3339076042175293,False,False,
71,CONGESTED,6786.384704443254,82355.24773064483,10.0,93285.67697743503,93282.36786426103,10.0,1.5858728885650635,False,False,
76,CONGESTED,25432.021962940664,105469.71429427681,3.147122648950968,115922.89381741267,115919.03612790653,3.5579952822180165,1.3513472080230713,False,False,
81,CONGESTED,35743.852343531544,99543.98594484448,1.784926061867915,112288.42393473371,112284.9946828626,2.1413792112153542,1.5307915210723877,False,False,
86,CONGESTED,35976.59410334225,78670.77935954393,1.1867211535471236,87073.26879835386,87069.87128072369,1.420181049634564,1.365288496017456,False,False,
91,CONGESTED,360.7976257438303,78304.08331126675,10.0,97579.88573981205,97576.2745821419,10.0,1.4537370204925537,False,False,
96,CONGESTED,17493.764395797807,125489.65149439104,6.17339325310461,137399.74872344377,137396.36196962697,6.854019229604868,1.3745155334472656,False,False,
2,MULTIDAY,10053.530318524508,366165.29868730804,10.0,407844.5003017788,407829.6053693634,10.0,34.57833552360535,False,False,
22,MULTIDAY,18181.656705796402,288088.07696769154,10.0,348367.76160927647,348353.44394199335,10.0,36.42326045036316,False,False,
42,MULTIDAY,25727.019558116215,310412.5941499501,10.0,367119.0163083431,367104.5671748015,10.0,39.65748119354248,False,False,
62,MULTIDAY,3315.8414578262114,460407.6706318753,10.0,511292.9293263268,511276.66971500096,10.0,33.36686587333679,False,False,
82,MULTIDAY,8404.736622618868,367536.310204778,10.0,410880.042600594,410865.4693408748,10.0,31.633393049240112,False,False,
3,DENSE,34208.64974731878,311853.5358633516,8.116218797255451,376946.78086079546,376924.31132982223,10.0,164.05417728424072,False,False,
43,DENSE,18515.844739246037,552664.8243213951,10.0,627688.7331366603,627663.9349743276,10.0,139.39024543762207,False,False,
83,DENSE,43203.02810113324,372965.92185824126,7.632865293088686,433582.3790470718,433560.12718146207,9.035410623475583,172.22024297714233,False,False,
8,DENSE,7624.159325053755,530870.5272350506,10.0,580444.1391017286,580419.0226164924,10.0,130.04526448249817,False,False,
23,DENSE,41107.29560076989,652846.3469741002,10.0,732550.5394595251,732527.5722827641,10.0,129.89096522331238,False,False,
58,DENSE,19119.708924752507,433007.00763139897,10.0,514897.11455804587,514872.9203766898,10.0,130.62340354919434,False,False,
93,DENSE,44599.46155098167,584265.3392677115,10.0,675318.3798476502,675295.6965563017,10.0,175.7750165462494,False,False,
