nonce,scenario,baseline_profit,frozen_profit,oracle_profit,frozen_quality,oracle_quality,regret_quality,pct_oracle_captured,final_score_loss_contribution
3,DENSE,34208.64974731878,311853.5358633516,376946.78086079546,8.116218797255451,10.0,1.883781202744549,81.2,0.0018838
56,CONGESTED,9829.299300936138,84796.7955395266,99958.66640897309,7.626942057184448,9.169072070857997,1.5421300136735487,83.2,0.0015421
83,DENSE,43203.02810113324,372965.92185824126,433582.3790470718,7.632865293088686,9.035410623475583,1.4025453303868964,84.5,0.0014025
6,CONGESTED,11618.514735215234,93155.67443711974,105462.75955722097,7.0178642927353625,8.076845470409845,1.0589811776744824,86.9,0.001059
61,CONGESTED,8299.538458231638,83140.3889333294,98217.35471479506,9.017471374188494,10.0,0.982528625811506,90.2,0.0009825
66,CONGESTED,23655.828552041898,110040.21026100534,128016.89848509694,3.6517165955641526,4.411520505718858,0.7598039101547056,82.8,0.0007598
96,CONGESTED,17493.764395797807,125489.65149439104,137399.74872344377,6.17339325310461,6.854019229604868,0.6806259765002576,90.1,0.0006806
30,BASELINE,4136.931874520799,38225.44509403028,41002.325022142,8.240047031284039,8.910867928646155,0.6708208973621161,92.5,0.0006708
5,BASELINE,6717.0546462141565,40755.80833518166,44313.16251196336,5.067511800441403,5.596897668251339,0.5293858678099364,90.5,0.0005294
41,CONGESTED,45903.92554581891,120029.26267785089,142068.33795679628,1.614792988813759,2.0948222784448363,0.48002928963107716,77.1,0.00048
31,CONGESTED,13701.154640721614,61834.440596838496,68318.74143894053,3.5130824528865188,3.9861025909997596,0.47302013811324084,88.1,0.000473
76,CONGESTED,25432.021962940664,105469.71429427681,115922.89381741267,3.147122648950968,3.5579952822180165,0.4108726332670485,88.5,0.0004109
70,BASELINE,10340.932836249573,51987.14484434197,56121.25277379233,4.027316748260522,4.426958680964363,0.3996419327038412,91.0,0.0003996
51,CONGESTED,22446.87966860962,86622.74403640571,94835.94772750227,2.859010486641602,3.224768383114524,0.365757896472922,88.7,0.0003658
60,BASELINE,11537.813656218463,47735.01906956245,51878.63174708003,3.137267292464698,3.496269166295535,0.35900187383083715,89.7,0.000359
81,CONGESTED,35743.852343531544,99543.98594484448,112288.42393473371,1.784926061867915,2.1413792112153542,0.3564531493474392,83.4,0.0003565
1,CONGESTED,41057.013504291994,155495.02700652723,169400.7000400158,2.7872951228536116,3.1258929301420126,0.33859780728840105,89.2,0.0003386
35,BASELINE,11441.196415137223,38730.2849625712,42042.69257049981,2.3851603936231798,2.6745568311643244,0.28939643754114464,89.2,0.0002894
90,BASELINE,19890.738070748113,59083.50582221117,64537.24683108597,1.9704028885248182,2.2445010919138624,0.2740982033890442,87.8,0.0002741
26,CONGESTED,46084.87020777623,127295.21557144266,139432.91186589844,1.7621910400476954,2.025492463025307,0.2633014229776114,87.0,0.0002633
16,CONGESTED,23186.278464472834,73848.95597414445,79612.04515413624,2.18502842468292,2.4334382748081516,0.24840985012523165,89.8,0.0002484
86,CONGESTED,35976.59410334225,78670.77935954393,87073.26879835386,1.1867211535471236,1.420181049634564,0.23345989608744033,83.6,0.0002335
11,CONGESTED,58657.47074832574,131574.63813367955,142813.45744727386,1.2431011165988943,1.4346476354178648,0.19154651881897045,86.6,0.0001915
45,BASELINE,16473.208488799188,43657.851137146834,46623.5157480218,1.6502336302719272,1.8301836660370439,0.1799500357651167,90.2,0.00018
85,BASELINE,11784.79820314523,39122.161033536606,41055.740716016975,2.319714122960173,2.483674139545541,0.16396001658536807,93.4,0.000164
75,BASELINE,34994.88668740411,49661.5504985774,54543.104276537844,0.41910876699690036,0.5585620507510485,0.13945328375414812,75.0,0.0001395
55,BASELINE,31610.17009660131,58444.018036348134,62754.21418447841,0.848899194686177,0.9852119530467042,0.13631275836052714,86.2,0.0001363
80,BASELINE,21409.108880193617,43264.90879435309,46017.01707928285,1.0208645317955407,1.1493380083763263,0.12847347658078556,88.8,0.0001285
10,BASELINE,39906.54920140796,54849.64150488226,59668.30697609431,0.37445212883935947,0.4951606892497832,0.12070856041042372,75.6,0.0001207
20,BASELINE,28027.008076760507,38810.45120492259,41848.43361038309,0.3847518471555573,0.493095713409933,0.1083438662543757,78.0,0.0001083
40,BASELINE,34683.00077535704,50002.94372592751,53633.86255050499,0.4417133064510923,0.5463609254827108,0.10464761903161846,80.8,0.0001046
95,BASELINE,26598.788135189116,47559.69735288031,50195.330112143296,0.7880400080773875,0.8870639059314028,0.09902389785401533,88.8,9.9e-05
65,BASELINE,35791.157090276014,50610.40820888963,53962.07044471325,0.4140478353583535,0.5076446080210645,0.09359677266271099,81.6,9.36e-05
15,BASELINE,34830.360706967294,46346.071712085635,49504.55041430612,0.33062278917152216,0.42126048280011963,0.09063769362859747,78.5,9.06e-05
25,BASELINE,48056.65881148651,63926.013985052734,68054.77684832277,0.33022177499870026,0.41610705559049915,0.0858852805917989,79.4,8.59e-05
0,BASELINE,18470.30233528574,36820.46576291959,38385.01029490056,0.9934955635016395,1.078122429749008,0.08462686624736848,92.2,8.46e-05
50,BASELINE,37445.27529802348,50174.09279820471,53013.06574052949,0.33993120356396944,0.41570690078858313,0.07577569722461369,81.8,7.58e-05
21,CONGESTED,2980.999464512717,86725.73927756422,93281.31592383047,10.0,10.0,0.0,100.0,0.0
36,CONGESTED,336.8922602371719,68150.61168449944,86998.11263277274,10.0,10.0,0.0,100.0,0.0
46,CONGESTED,4290.440230316097,112594.05504584542,122985.47124520913,10.0,10.0,0.0,100.0,0.0
71,CONGESTED,6786.384704443254,82355.24773064483,93285.67697743503,10.0,10.0,0.0,100.0,0.0
91,CONGESTED,360.7976257438303,78304.08331126675,97579.88573981205,10.0,10.0,0.0,100.0,0.0
2,MULTIDAY,10053.530318524508,366165.29868730804,407844.5003017788,10.0,10.0,0.0,100.0,0.0
22,MULTIDAY,18181.656705796402,288088.07696769154,348367.76160927647,10.0,10.0,0.0,100.0,0.0
42,MULTIDAY,25727.019558116215,310412.5941499501,367119.0163083431,10.0,10.0,0.0,100.0,0.0
62,MULTIDAY,3315.8414578262114,460407.6706318753,511292.9293263268,10.0,10.0,0.0,100.0,0.0
82,MULTIDAY,8404.736622618868,367536.310204778,410880.042600594,10.0,10.0,0.0,100.0,0.0
43,DENSE,18515.844739246037,552664.8243213951,627688.7331366603,10.0,10.0,0.0,100.0,0.0
8,DENSE,7624.159325053755,530870.5272350506,580444.1391017286,10.0,10.0,0.0,100.0,0.0
23,DENSE,41107.29560076989,652846.3469741002,732550.5394595251,10.0,10.0,0.0,100.0,0.0
58,DENSE,19119.708924752507,433007.00763139897,514897.11455804587,10.0,10.0,0.0,100.0,0.0
93,DENSE,44599.46155098167,584265.3392677115,675318.3798476502,10.0,10.0,0.0,100.0,0.0
