nonce,scenario,baseline_profit,v6_profit,v8_profit,v6_quality,v8_quality,saturated,v8_charged_mwh,v8_discharged_mwh,v8_repair_count
0,BASELINE,29236.94100840674,66262.52874036541,66875.39504784434,1.266397456561752,1.2873595095782338,False,794.92221782563,1107.7260876139778,42
1,CONGESTED,10514.742487435282,65882.62783251613,67868.41335020609,5.265738595688637,5.454595861558347,False,2251.745764007924,2742.770445745319,90
2,MULTIDAY,6625.7937828671975,264490.08739935706,264490.08739935706,10.0,10.0,True,7224.533997835678,7672.004439689623,192
3,DENSE,23040.370408430237,403933.6591293572,403933.6591293572,10.0,10.0,True,7617.135243151934,7643.053480369999,192
4,CAPSTONE,29634.689750597066,694849.590160206,694849.590160206,10.0,10.0,True,16158.72972178829,15994.967036531636,192
5,BASELINE,30390.249663386,45540.60899771032,44987.97327165276,0.4985269782787885,0.4803423390553343,False,1046.2650438312767,1313.817327791939,17
6,CONGESTED,4938.391240037246,79538.1091726592,88401.12267120635,10.0,10.0,True,2807.6263902916935,3354.567747830786,94
7,MULTIDAY,3967.7718222257763,186413.5635968599,186413.5635968599,10.0,10.0,True,5705.645856862379,5759.822430101027,192
8,DENSE,15615.735007592542,411282.5579454132,411282.5579454132,10.0,10.0,True,8156.117647767291,8337.805263764789,192
9,CAPSTONE,27910.77826445484,899335.1517566293,899335.1517566293,10.0,10.0,True,12043.472419199805,12157.82422842014,192
10,BASELINE,22637.523882020487,53831.450241248844,54494.540471722496,1.377974310283365,1.407265951626304,False,972.9562862747704,1270.118099797734,49
11,CONGESTED,1.6920585948047827e-12,95296.46213200664,108552.02948029575,10.0,10.0,True,2635.105556046823,3113.028445735103,96
12,MULTIDAY,15684.50133929123,276659.4781038013,276659.4781038013,10.0,10.0,True,6889.254381371208,7724.027536069976,192
13,DENSE,22309.35378566021,456884.34447394137,456884.34447394137,10.0,10.0,True,7618.417415028182,8177.464941959301,192
14,CAPSTONE,36923.02300503166,774977.0992568302,774977.0992568302,10.0,10.0,True,11782.922713706319,11694.858454840934,192
15,BASELINE,2131.482402587612,42143.23875889885,42657.47481081072,10.0,10.0,True,1072.4712980470872,1354.7066738199662,58
16,CONGESTED,559.0736649721573,87844.70426746043,90215.68231492472,10.0,10.0,True,2667.542357467736,3198.587706523202,83
17,MULTIDAY,13701.425302028736,221977.73009423199,221977.73009423199,10.0,10.0,True,5770.80382480736,5840.645085598916,192
18,DENSE,28215.82281646492,370631.0952176055,370631.0952176055,10.0,10.0,True,8413.134877828552,8520.183811004297,192
19,CAPSTONE,20895.51601888233,742898.9002022031,742898.9002022031,10.0,10.0,True,16475.938113667667,16512.460107179013,192
20,BASELINE,11564.201803684049,34268.709461725506,34651.05426106445,1.9633441236597113,1.9964069156964324,False,1064.034839671379,1318.8074178060183,57
21,CONGESTED,3439.2725253480166,64742.738677407004,69447.25028746326,10.0,10.0,True,3181.1556520383606,3538.0971586270557,96
22,MULTIDAY,8260.375235173868,247626.1298681902,247626.1298681902,10.0,10.0,True,5905.307813586049,5730.0740649822255,192
23,DENSE,11993.225976391599,344447.9999081454,344447.9999081454,10.0,10.0,True,9507.205685264642,9655.650265770251,192
24,CAPSTONE,34675.73103170672,690895.693967648,690895.693967648,10.0,10.0,True,12532.551547248884,12772.493476895505,192
25,BASELINE,19396.254323025325,39646.746961711804,40024.71949524224,1.0440414061596957,1.0635282888957227,False,871.9519407350264,1159.9489494229788,42
26,CONGESTED,1334.1769609593007,80232.18874702089,80617.29947187036,10.0,10.0,True,2403.851907783387,2944.1117799459334,80
27,MULTIDAY,28291.402173837945,252960.25376051548,252960.25376051548,7.941241307102675,7.941241307102675,False,6902.674542296813,7257.726140317868,192
28,DENSE,8229.01462124445,473368.70714065194,473368.70714065194,10.0,10.0,True,9146.10535437424,9423.388744172875,192
29,CAPSTONE,40200.403120448,1164559.1410303437,1164559.1410303437,10.0,10.0,True,16497.521792591593,17074.87763693568,192
30,BASELINE,36169.66231269726,52386.5006782378,52798.534560174936,0.4483547074587783,0.45974640579324416,False,916.542560697525,1204.1996557617279,44
31,CONGESTED,7211.369548567652,91775.17466815401,97229.67298526614,10.0,10.0,True,2850.9223833459014,3397.9641413553613,88
32,MULTIDAY,6459.97670825694,127860.18373134389,127860.18373134389,10.0,10.0,True,5092.870521217354,4923.266524728864,192
33,DENSE,25164.379028701853,475263.29374794464,475263.29374794464,10.0,10.0,True,10839.161620138075,11317.310840040229,192
34,CAPSTONE,27081.045186756546,664053.7450151623,664053.7450151623,10.0,10.0,True,12752.516775265805,12527.85273796502,192
35,BASELINE,25507.077977130586,43442.647890650456,42054.53220161563,0.7031605081890437,0.6487397042763032,False,734.731738152831,1043.6431048081677,23
36,CONGESTED,23253.82686107543,76862.35356114387,80364.42579962313,2.3053636297386544,2.4559656041685396,False,2432.876311941648,2994.8137588452387,86
37,MULTIDAY,38710.40497013715,250557.06752953937,250557.06752953937,5.4726025914055185,5.4726025914055185,False,7030.543685505355,7148.297780241374,192
38,DENSE,35730.15769191865,489069.62230018695,489069.62230018695,10.0,10.0,True,9996.03889264729,10445.869198025195,192
39,CAPSTONE,29858.055486574805,614182.639324089,614182.639324089,10.0,10.0,True,13134.416957415922,12160.170311485504,192
40,BASELINE,24393.80518731453,52630.49995217949,53040.9302274936,1.1575354704558887,1.1743606550527845,False,1038.5015577569907,1320.891421959567,55
41,CONGESTED,11447.504579434433,88713.16719395663,93730.72765073729,6.7495638085684835,7.1878742212462345,False,2531.0839125141933,3084.857609859056,79
42,MULTIDAY,13265.173065364876,214096.99928780113,214096.99928780113,10.0,10.0,True,5496.55445699384,5937.576746395828,192
43,DENSE,31712.089525252355,521502.61946024915,521502.61946024915,10.0,10.0,True,10930.649920176485,11338.91416345185,192
44,CAPSTONE,20399.37417579321,705641.6263725482,705641.6263725482,10.0,10.0,True,13370.994685746857,13315.275849331256,192
45,BASELINE,35094.13088112693,50564.81766933321,51189.38788098875,0.4408340198014519,0.4586310187855077,False,913.7787264741282,1189.1200658173193,59
46,CONGESTED,6806.575034627554,70081.01587871108,75515.59562365306,9.296076295770938,10.0,True,2502.1697149318957,2976.619415993041,94
47,MULTIDAY,26325.58906588264,248074.91227364817,248074.91227364817,8.423337561199123,8.423337561199123,False,5037.080932573196,5191.957817450254,192
48,DENSE,18605.58334663235,528343.9059896561,528343.9059896561,10.0,10.0,True,11808.028748091532,10633.430495965797,192
49,CAPSTONE,37679.60720546326,635349.1941299018,635349.1941299018,10.0,10.0,True,13277.80066427514,13030.941230400658,192
50,BASELINE,14743.10727779479,37982.53736848937,37814.09425486547,1.5762911882300528,1.5648659770829987,False,1188.6842266533624,1476.559378736322,59
51,CONGESTED,31192.38171483887,110124.4515206934,115333.15119427336,2.5304919170623763,2.697478193424053,False,2845.9282598185337,3394.3865760208673,89
52,MULTIDAY,17331.163517070945,205305.43727879334,205305.43727879334,10.0,10.0,True,6407.314579497557,6189.933338878217,192
53,DENSE,23727.4800481649,385000.00710897933,385000.00710897933,10.0,10.0,True,9435.045533507995,9223.176177370417,192
54,CAPSTONE,36359.555064415144,539443.0300975674,539443.0300975674,10.0,10.0,True,13354.780685658814,13439.117155376334,192
55,BASELINE,25728.16953750662,44502.07242149184,45772.656460989696,0.7297022376926914,0.7790871749924947,False,992.7007304277778,1291.6249870335773,43
56,CONGESTED,13738.910298134659,72426.71345406445,73875.53557478421,4.271649052081388,4.377102984684108,False,2353.8422153497454,2882.1874268912284,87
57,MULTIDAY,5215.67019840184,340976.9909426591,340976.9909426591,10.0,10.0,True,6682.664136631695,7064.929682242708,192
58,DENSE,17600.22099709832,193076.8375988226,193076.8375988226,9.970137114794428,9.970137114794428,False,8560.78644429067,8723.780553082132,192
59,CAPSTONE,42577.402866255245,773014.8020281054,773014.8020281054,10.0,10.0,True,12392.667659808756,12864.693126601556,192
60,BASELINE,16544.832847975813,40309.13758770252,40741.58666661378,1.4363581038655102,1.4624961182449079,False,929.6313992412739,1234.03966579467,55
61,CONGESTED,5167.071856074457,92145.34424370792,99475.92321980058,10.0,10.0,True,3065.8591742657527,3496.1037769292916,96
62,MULTIDAY,36376.78805399057,240442.47765233243,240442.47765233243,5.609777567218331,5.609777567218331,False,5633.417011262294,5829.95760880178,192
63,DENSE,44997.09777027276,360775.1711595943,360775.1711595943,7.017743121889118,7.017743121889118,False,9359.040282591617,10446.90662772774,192
64,CAPSTONE,55804.28620540388,771321.1545934442,771321.1545934442,10.0,10.0,True,13234.345281031648,13555.508611204912,192
65,BASELINE,29392.756042033696,51075.510098149774,50678.154693092605,0.7376904031854152,0.7241715822733713,False,944.53376598642,1266.1389227332247,60
66,CONGESTED,7605.088801875176,81530.89297829033,83676.73218308753,9.720570803652786,10.0,True,2449.8508577633725,2953.5686657352067,94
67,MULTIDAY,5370.362005450421,202842.93090317256,202842.93090317256,10.0,10.0,True,5302.5413935658,5588.549335635135,192
68,DENSE,17934.154741726114,396635.5105001691,396635.5105001691,10.0,10.0,True,9353.170090718193,9392.519065356544,192
69,CAPSTONE,36340.46694982141,625778.1898266588,625778.1898266588,10.0,10.0,True,10484.664412850887,10480.818063754865,192
70,BASELINE,14681.167855550975,39428.03572704516,37957.1562976765,1.685619843958921,1.5854316679404628,False,995.1304380851211,1287.6040379566873,55
71,CONGESTED,28249.033885547156,117938.26480895869,124468.41319879299,3.174948611822212,3.4061122125336722,False,2575.357175969191,3092.4382883852704,82
72,MULTIDAY,3583.6915538157073,233908.64901857468,233908.64901857468,10.0,10.0,True,7181.042144917874,6866.828640344564,192
73,DENSE,41216.44461343972,335477.3224404942,335477.3224404942,7.139404686156832,7.139404686156832,False,8824.927135114765,8328.393824881045,192
74,CAPSTONE,7492.377237933559,979216.455667419,979216.455667419,10.0,10.0,True,14534.159365184993,14988.586655376866,192
75,BASELINE,18733.347784873404,45844.03180039381,46337.352221489484,1.447188421706677,1.4735222316980594,False,975.4680377273907,1265.3067439309687,35
76,CONGESTED,1.4879759731797228e-12,78693.7371670487,81613.14289400031,10.0,10.0,True,2556.352053463135,2998.3787178019084,90
77,MULTIDAY,19245.861676045017,249186.5174503551,249186.5174503551,10.0,10.0,True,5492.721033722384,5825.585844810974,192
78,DENSE,5520.557334129365,338325.2117514318,338325.2117514318,10.0,10.0,True,9142.935012089001,9956.258620840748,192
79,CAPSTONE,10276.088197146542,583111.4906291652,583111.4906291652,10.0,10.0,True,12854.12038352747,12761.749044554523,192
80,BASELINE,384.7976680671304,47510.6876894873,46392.931332677625,10.0,10.0,True,1037.8957911418695,1330.2945829178057,64
81,CONGESTED,11507.324581148641,73733.50029724246,74419.84784998355,5.407527637886006,5.4671720450495815,False,2605.6845391787174,3088.120020387666,74
82,MULTIDAY,8961.639879622018,287828.5372376341,287828.5372376341,10.0,10.0,True,6418.312318461446,7210.506904135783,191
83,DENSE,7459.785284545956,337407.1946898432,337407.1946898432,10.0,10.0,True,10029.011855179062,9822.16756572872,192
84,CAPSTONE,6383.780137500567,653433.3458233809,653433.3458233809,10.0,10.0,True,12127.057252112882,11879.862603127365,192
85,BASELINE,38010.813250911095,51108.36218374388,51476.71291296455,0.34457428853286287,0.35426497120201494,False,851.8512370736381,1138.1185666794063,59
86,CONGESTED,6458.378180680415,72435.54544897587,71558.02329772594,10.0,10.0,True,2027.174515372662,2518.5226847595573,81
87,MULTIDAY,216.4718500838031,241177.2408753872,241177.2408753872,10.0,10.0,True,6444.685628225276,6655.889541878087,192
88,DENSE,25385.425198988345,336038.89681647974,336038.89681647974,10.0,10.0,True,8397.957508566886,8312.787711829646,192
89,CAPSTONE,12955.8446816942,801685.4575678356,801685.4575678356,10.0,10.0,True,12427.69790888154,12204.633862113798,192
90,BASELINE,34305.31753551111,53192.136865735665,52476.91253227934,0.5505507800685225,0.5297019908773101,False,784.7426813548794,1073.242615234324,39
91,CONGESTED,14959.192329959615,74622.95155154642,77205.0237215916,3.988434529189547,4.161042255122806,False,2624.5195029855004,2956.9523911793713,96
92,MULTIDAY,31775.613278801702,212583.89306675945,212583.89306675945,5.690158619311032,5.690158619311032,False,4906.674858783351,4797.957544024618,192
93,DENSE,11635.878642505482,326308.12626051385,326308.12626051385,10.0,10.0,True,6577.864489681814,6522.823958949153,192
94,CAPSTONE,46298.28954766664,627349.1921848187,627349.1921848187,10.0,10.0,True,11613.37946339142,11526.644583866722,192
95,BASELINE,21347.7081652351,45761.00413909181,45807.08254293722,1.1436026660918261,1.1457611368506821,False,785.0885659737843,1092.5896630475174,52
96,CONGESTED,1.5219019248281293e-09,74610.8318839571,82245.5673114185,10.0,10.0,True,2664.8786184533396,2918.587065161665,92
97,MULTIDAY,13134.069004835304,317402.2794045694,317402.2794045694,10.0,10.0,True,6543.2123306122685,7147.908110829622,192
98,DENSE,32591.48055002586,384039.68584277696,384039.68584277696,10.0,10.0,True,8360.082928828724,8867.635276168437,192
99,CAPSTONE,16728.614894909177,904829.6412574047,904829.6412574047,10.0,10.0,True,15559.156667930349,15914.065669597327,192
